Description,Description2
Rand per US Dollar,Weighted average of the banks' daily rates at approximately 10:30 am. Weights are based on the banks' foreign exchange transactions.

ValueDate,TheValue
2014-11-24,10.9584
2014-11-21,10.9513
2014-11-20,11.0435
2014-11-19,11.0196
2014-11-18,11.0869
2014-11-17,11.0954
2014-11-14,11.2169
2014-11-13,11.1939
2014-11-12,11.2223
2014-11-11,11.3157
2014-11-10,11.2159
2014-11-07,11.3025
2014-11-06,11.1415
2014-11-05,11.1338
2014-11-04,11.0385
2014-11-03,11.0665
2014-10-31,10.8578
2014-10-30,10.9789
2014-10-29,10.8364
2014-10-28,10.9332
2014-10-27,10.9509
2014-10-24,10.9692
2014-10-23,10.9355
2014-10-22,11.0339
2014-10-21,10.9876
2014-10-20,11.0659
2014-10-17,11.0950
2014-10-16,11.1518
2014-10-15,11.0685
2014-10-14,11.0894
2014-10-13,11.0470
2014-10-10,11.1219
2014-10-09,11.0220
2014-10-08,11.2101
2014-10-07,11.2118
2014-10-06,11.2696
2014-10-03,11.2138
2014-10-02,11.1845
2014-10-01,11.3295
2014-09-30,11.2416
2014-09-29,11.2845
2014-09-26,11.1778
2014-09-25,11.1736
2014-09-23,11.1202
2014-09-22,11.1402
2014-09-19,11.0708
2014-09-18,10.9852
2014-09-17,10.9309
2014-09-16,10.9399
2014-09-15,11.0719
2014-09-12,10.9895
2014-09-11,10.8367
2014-09-10,10.9955
2014-09-09,10.8825
2014-09-08,10.7625
2014-09-05,10.7434
2014-09-04,10.6799
2014-09-03,10.6919
2014-09-02,10.6934
2014-09-01,10.6722
2014-08-29,10.6038
2014-08-28,10.6435
2014-08-27,10.6418
2014-08-26,10.6879
2014-08-25,10.6920
2014-08-22,10.6905
2014-08-21,10.7064
2014-08-20,10.6652
2014-08-19,10.6320
2014-08-18,10.5909
2014-08-15,10.5469
2014-08-14,10.5873
2014-08-13,10.6268
2014-08-12,10.6609
2014-08-11,10.6983
2014-08-08,10.7889
2014-08-07,10.7312
2014-08-06,10.7716
2014-08-05,10.6295
2014-08-04,10.6659
2014-08-01,10.7297
2014-07-31,10.7058
2014-07-30,10.6001
2014-07-29,10.6140
2014-07-28,10.5317
2014-07-25,10.5406
2014-07-24,10.5202
2014-07-23,10.5214
2014-07-22,10.6254
2014-07-21,10.6326
2014-07-18,10.6972
2014-07-17,10.6684
2014-07-16,10.6940
2014-07-15,10.7074
2014-07-14,10.7268
2014-07-11,10.7156
2014-07-10,10.7058
2014-07-09,10.6729
2014-07-08,10.7043
2014-07-07,10.8215
2014-07-04,10.7516
2014-07-03,10.7787
2014-07-02,10.7059
2014-07-01,10.6172
2014-06-30,10.6135
2014-06-27,10.6177
2014-06-26,10.6113
2014-06-25,10.6137
2014-06-24,10.5625
2014-06-23,10.6537
2014-06-20,10.7115
2014-06-19,10.6188
2014-06-18,10.7996
2014-06-17,10.7422
2014-06-13,10.7379
2014-06-12,10.7429
2014-06-11,10.7876
2014-06-10,10.7058
2014-06-09,10.5698
2014-06-06,10.6506
2014-06-05,10.7430
2014-06-04,10.7979
2014-06-03,10.6638
2014-06-02,10.5829
2014-05-30,10.4422
2014-05-29,10.4201
2014-05-28,10.4906
2014-05-27,10.4022
2014-05-26,10.3364
2014-05-23,10.3489
2014-05-22,10.3808
2014-05-21,10.4435
2014-05-20,10.4459
2014-05-19,10.3439
2014-05-16,10.3988
2014-05-15,10.3248
2014-05-14,10.2815
2014-05-13,10.3334
2014-05-12,10.3528
2014-05-09,10.3366
2014-05-08,10.3730
2014-05-06,10.5228
2014-05-05,10.4776
2014-05-02,10.5145
2014-04-30,10.5525
2014-04-29,10.5793
2014-04-25,10.6279
2014-04-24,10.5933
2014-04-23,10.5916
2014-04-22,10.5394
2014-04-17,10.5257
2014-04-16,10.5459
2014-04-15,10.5219
2014-04-14,10.5622
2014-04-11,10.4505
2014-04-10,10.3964
2014-04-09,10.4359
2014-04-08,10.4282
2014-04-07,10.5622
2014-04-04,10.6495
2014-04-03,10.6541
2014-04-02,10.5997
2014-04-01,10.5794
2014-03-31,10.5953
2014-03-28,10.6139
2014-03-27,10.7219
2014-03-26,10.7413
2014-03-25,10.8205
2014-03-24,10.8516
2014-03-20,10.8729
2014-03-19,10.6952
2014-03-18,10.7722
2014-03-17,10.6949
2014-03-14,10.7768
2014-03-13,10.7771
2014-03-12,10.9062
2014-03-11,10.7272
2014-03-10,10.7354
2014-03-07,10.6126
2014-03-06,10.6680
2014-03-05,10.7554
2014-03-04,10.8299
2014-03-03,10.7799
2014-02-28,10.7175
2014-02-27,10.8085
2014-02-26,10.7483
2014-02-25,10.8308
2014-02-24,10.9475
2014-02-21,11.0272
2014-02-20,11.0848
2014-02-19,10.9376
2014-02-18,10.8761
2014-02-17,10.8524
2014-02-14,10.9946
2014-02-13,11.0495
2014-02-12,10.9492
2014-02-11,11.1253
2014-02-10,11.1395
2014-02-07,11.0410
2014-02-06,11.1428
2014-02-05,11.1238
2014-02-04,11.1804
2014-02-03,11.1558
